time,A0000,A0001,A0002,A0003,A0004,A0005,A0006,A0007,A0008,A1000,A1001,A1002,A1003,A1004,A1005,A1006,A1007,A1008,A1009,A1010,A1011,A1012,A1013,A1014,A1015,A1016,A1017,A1018,A1019,A1020,A1021,A1022,A1023,A1024,A1025,A1026,A1027,A1028,A1029,A1030,A1031,A1032,A1033,A1034,A1035,A1036,A1037,A1038,A1039,A1040,A1041,A1042,A1043,A1044,A1045,A1046,A1047,A1048,A1049,A1050,A1051,A1052,A1053,A1054,A1055,A1056,A1057,A1058,A1059,A1060,A1061,A1062,A1063
2007,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820,2894238487549820
2008,2894190328072440,2893561291431420,2894350414062610,2894318252365060,2893914888310190,2894055573939600,2894325431605490,2894187960344270,2894202746026950,2894017727136910,2893920946003080,2894277245184420,2893928640846540,2893804712712040,2894466091116560,2893843125030740,2894125035320410,2893589689659740,2893262772477540,2894186221414600,2894188192911000,2893906309627800,2894302462232040,2894373066218560,2894478697930990,2893394445122600,2894465539973960,2893430417704630,2893576424605670,2894390815675130,2894442945069970,2893785411930290,2894205372468760,2894190409305020,2894340372196100,2894420151810580,2894323449363270,2894212460544020,2894184106798690,2894181570831520,2894422445548560,2894351101892990,2894041008529190,2894213523961580,2893650593641530,2894261166017540,2894124111764150,2893953470517300,2894430173481780,2893681238936980,2893763331575250,2893726840665860,2893765124628590,2893909227198820,2894177934908760,2894242017511710,2893898759912500,2894279842395950,2894198413331610,2894059608787230,2894055548130020,2894375789795500,2894294238067510,2893944136249310,2894251866874430,2894085573363290,2894275234327200,2894084108652640,2894216169590480,2894170208542720,2894127082852990,2894292824058200,2894144674181500
2009,2894136127934010,2892811394820280,2894464935177360,2894382016657530,2893626719110290,2893867293936800,2894405585397490,2894133703387370,2894148865016860,2893818936948410,2893547290652120,2894273589888270,2893566406287370,2893308158145220,2894688064567310,2893381583677610,2894032425261220,2892979264020860,2892235108494090,2894137573640830,2894164459497170,2893594400062810,2894357394820010,2894523486722250,2894711030821570,2892508478435310,2894675219444660,2892641801625230,2892932527867880,2894537115989980,2894643824611730,2893361784459920,2894154623644850,2894106089353920,2894436375955300,2894594103155370,2894392464800150,2894195645229550,2894144135784040,2894114834354050,2894603925723420,2894469922971340,2893833358037630,2894200437217630,2893065400543380,2894293779721580,2893996409313250,2893639006757280,2894611333966530,2893153445090330,2893228936541640,2893186732809800,2893289501582100,2893604767554460,2894084200850360,2894228150120200,2893581663330570,2894307708724930,2894140248480750,2893909660219280,2893888427232320,2894506211917560,2894331506135140,2893641419464790,2894264369008120,2893898113930480,2894306393205890,2893907092191570,2894197388962070,2894084521027480,2894014218156000,2894345881230550,2894049866079240
2010,2894082087903950,2892030094281000,2894583830504490,2894441804089040,2893358586783710,2893679535405410,2894485715145810,2894079550204360,2894095078203150,2893636337846680,2893148809337030,2894255113528930,2893183101378230,2892786191499950,2894909756074950,2892887677847180,2893956012329110,2892388801804740,2891190384010250,2894093071317690,2894154089564110,2893303338235080,2894416599128070,2894684567882920,2894942278178890,2891604555073280,2894883855131220,2891868741236670,2892298921167970,2894683243822530,2894848941345780,2892955225838580,2894101244928540,2894005368880610,2894533313601660,2894770216186800,2894461570212190,2894186489752420,2894114211070720,2894050412266830,2894786793237080,2894593889661090,2893627303347810,2894196386079650,2892484975923030,2894336972978740,2893864732035470,2893316126250260,2894791940435110,2892643254765560,2892667259662120,2892636419587660,2892821379751660,2893314574551860,2893978015446330,2894214649773440,2893278301885920,2894331206002400,2894075018754800,2893776047671600,2893733947764820,2894635832352850,2894364951317810,2893345221158040,2894279282825040,2893701322922260,2894337571820340,2893725337097120,2894185918408830,2893992977839800,2893904734837970,2894401436634520,2893959016208060
2011,2894029105272560,2891225117107880,2894705925044350,2894498451476920,2893102690291610,2893493189816830,2894566551460430,2894026483648040,2894042247429130,2893465056576180,2892731800971320,2894225258127840,2892783411058450,2892246320081770,2895131200775980,2892371365914260,2893890915892610,2891814069498700,2890135973813910,2894051718329480,2894153118567430,2893026737855220,2894479227474280,2894852841649270,2895172657462300,2890690823647020,2895091688192340,2891108425767420,2891673913762190,2894829153979720,2895057153792290,2892561103482220,2894045841948030,2893889568540890,2894631015166100,2894948045368140,2894530719889780,2894182718784390,2894090806111950,2893987706987300,2894970658599410,2894721597355570,2893420377665870,2894198757428390,2891908445851350,2894387311163230,2893729885434590,2892986498441890,2894971929790810,2892146683822590,2892086187018860,2892077183413650,2892357458922590,2893032347233350,2893860024949180,2894200899001830,2892985151686750,2894352652685410,2894005750121060,2893652751304240,2893588303229720,2894764763360010,2894395653929740,2893051939417310,2894295999298860,2893495157348740,2894368691538590,2893540357996290,2894179121066220,2893897367392820,2893797066462320,2894458985122590,2893870317446660
2012,2893976748784180,2890400676121260,2894830771939850,2894552182525450,2892858337616620,2893307728549180,2894647790991130,2893974018491980,2893990096513470,2893302391556140,2892299767550130,2894185911718650,2892370432312030,2891691864649490,2895352538317840,2891837367119510,2893834431743150,2891250340168080,2889070048285620,2894012908723520,2894159209887880,2892759776536180,2894544357808550,2895026651035660,2895402356109380,2889766824841680,2895298734624990,2890355970492500,2891056248177930,2894975117205870,2895268056399230,2892176625401300,2893988898314670,2893767066649970,2894729483000700,2895127405562040,2894600028545580,2894183199556140,2894072823765750,2893926492322900,2895155355624100,2894852333392100,2893212917382030,2894205987800810,2891336660878920,2894443359284480,2893592728485980,2892652375868840,2895151708494180,2891659665639950,2891490026568190,2891513635244780,2891896048312370,2892760606265380,2893738580470560,2894187924390870,2892699463221820,2894371979368180,2893932805402980,2893537996455140,2893449468500490,2894893329555180,2894423960371950,2892761314375410,2894314305257500,2893283291587350,2894399929151350,2893352473794470,2894176306066040,2893799154064330,2893691202319010,2894518146378900,2893783868150010
2013,2893924855641600,2889562960536800,2894957851411460,2894603932277080,2892622212254210,2893123033057550,2894729241809360,2893922077537810,2893938362445020,2893147385436840,2891855189152120,2894141944705730,2891946573755590,2891124949586240,2895573786816040,2891287044251690,2893785674978150,2890695802154520,2887996954617860,2893976441373920,2894171137576680,2892500897753910,2894611911154940,2895204988234510,2895631584335940,2888833569662640,2895505221358540,2889611438897020,2890442758817360,2895121079722710,2895480932667040,2891798517859540,2893930894328880,2893636986563580,2894828723547200,2895308193348130,2894669677748480,2894187520601400,2894059026058060,2893866530737620,2895340834431550,2894985560753580,2893005027498170,2894216907629540,2890767282637810,2894503727094850,2893454247021620,2892315655086570,2895331223229050,2891180918083510,2890881059588580,2890944777590610,2891436406802990,2892493926753550,2893611154645630,2894175482890610,2892419826343940,2894389669650950,2893856560078260,2893429823768460,2893316245564610,2895021752397890,2894450629934140,2892472093088090,2894334017965060,2893065322608440,2894431348755000,2893160192142400,2894176670065630,2893698342784480,2893586690895290,2894578499727750,2893698983126810
2014,2893873350390970,2888710840940240,2895087094142910,2894654069622520,2892393199737110,2892939046761490,2894810892873430,2893870565836380,2893887118670530,2892998736573620,2891399348403240,2894091994576400,2891513087927510,2890548735490200,2895794881750300,2890722415631540,2893743381685360,2890149020760410,2886916509822760,2893941822058020,2894188142412100,2892249167314700,2894681598971060,2895386968078230,2895860301265880,2887894068370280,2895711507006800,2888872550780550,2889834086927970,2895267082142330,2895695663547960,2891427891965170,2893871902994570,2893499660107230,2894928647831120,2895490128157660,2894739534317330,2894194940594860,2894048661835640,2893807758238010,2895527178065420,2895120889348400,2892795513304680,2894231220762940,2890199551617770,2894568332778730,2893314290695930,2891974771781060,2895510395231750,2890708820617440,2890258977030240,2890371397432950,2890979854826950,2892233344749920,2893479184940790,2894163356386590,2892145388786950,2894405740142620,2893777902317340,2893327472712430,2893187581158840,2895149961614950,2894475852635100,2892184562525540,2894354746141150,2892843516305680,2894463034813370,2892968299615270,2894179586257040,2893595442908550,2893483299183890,2894640301003910,2893615561847980
2015,2893822249838750,2887846093934680,2895217943996290,2894702473460950,2892170173758760,2892755720217290,2894892601782840,2893819303263040,2893836237186710,2892855655612000,2890932450880840,2894036493784180,2891071244373120,2889961056570890,2896015972764620,2890147118640490,2893706417845490,2889608592288220,2885829712709080,2893908786628310,2894209573675600,2892002942792030,2894752963571630,2895572395592150,2896088596694750,2886947892702040,2895917480218870,2888137749366950,2889225300813750,2895413206115440,2895912082141080,2891062614345920,2893812149080960,2893356891996960,2895029385777430,2895672977274340,2894809518433480,2894204896854350,2894041308510310,2893750019395120,2895713925206100,2895258041579450,2892585183406530,2894248060935710,2889633408849130,2894635997165600,2893173108114930,2891632121995290,2895689532262000,2890241949571880,2889630104230220,2889792938194480,2890523287562750,2891977233607280,2893342457027170,2894151523070560,2891875378138050,2894420482556010,2893695833793410,2893230055101210,2893062756965690,2895277900546820,2894499680701260,2891897409480550,2894377051408950,2892617864188560,2894494962832200,2892775328762450,2894184767619760,2893490498621550,2893380863597660,2894702915415430,2893533308353000
2016,2893771547888990,2886970672906180,2895350756078570,2894749187559920,2891952586951120,2892572954308010,2894974528761840,2893768549585090,2893785703237390,2892718051623010,2890456843100280,2893976745851960,2890620883817670,2889367073326730,2896236920089070,2889561863300520,2893674635227100,2889073943000790,2884736859604200,2893877394382060,2894234941039850,2891762063686000,2894826435452100,2895760906885990,2896316430369570,2885996252067580,2896122858667510,2887407118110400,2888619783370460,2895559194233080,2896129714435270,2890701865438440,2893751699083800,2893208146404450,2895130770185270,2895857293323270,2894879987523460,2894217685431320,2894036904567830,2893693273809510,2895901139763550,2895397073395190,2892375982483460,2894267624607050,2889065172550270,2894706753986720,2893030936478100,2891286881486090,2895868687465440,2889780175306560,2888991390879240,2889210972600150,2890069891865300,2891724827003190,2893202200468860,2894139876146970,2891608294092380,2894433967721080,2893610504208480,2893137042866030,2892941474387570,2895405679727540,2894522285236330,2891612875671080,2894400033892600,2892387952928480,2894526994231860,2892580007890060,2894191957936320,2893384116212720,2893279459663810,2894766490801770,2893452213385350
